fullName,htmlUrl,apiUrl,description,language,stars,forks,archived,updatedAt,topics,searchQuery,pageStatus,pageVisitedAt,pageError
"danidoble/maestro","https://github.com/danidoble/maestro","https://api.github.com/repos/danidoble/maestro","Laravel starter kit for building a multi-tenant SaaS. Maestro separates the central application from each customer organization: the central app manages tenants and domains, while every tenant runs with its own database and isolated resources.","TypeScript","6","0","false","2026-08-05T18:19:29Z","i18n|inertiajs|laravel|multi-tenant|multilingual|react|saas|saas-boilerplate|tenant-repo","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.297Z",""
"jiabai/skilldrive","https://github.com/jiabai/skilldrive","https://api.github.com/repos/jiabai/skilldrive","a private Skills management SaaS platform purpose-built for AI agents. It focuses on the complete workflow of upload → manage → distribute with multi-tenant isolation, a modern web console, and REST APIs for distributing versioned skills to client-side runtimes.","TypeScript","6","0","false","2026-08-12T12:14:20Z","agent|ai|llm|skill-distribution|skill-management|skills","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.173Z",""
"AndrewUru/ai-saas","https://github.com/AndrewUru/ai-saas","https://api.github.com/repos/AndrewUru/ai-saas","AI-powered SaaS to create and embed intelligent chat agents on any website or CMS (WordPress, WooCommerce, Wix, Shopify, Next.js, and more).","TypeScript","5","6","false","2026-08-10T11:49:48Z","ai-agents|automation|multi-tenant|openai|reactjs|saas|web-widget|woocommerce","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.198Z",""
"chukwudumebiughonu/SnapSite","https://github.com/chukwudumebiughonu/SnapSite","https://api.github.com/repos/chukwudumebiughonu/SnapSite","SiteSnap empowers agency owners with a white-labeled, multi-tenant SaaS platform for managing clients, building websites/funnels, and streamlining relationships.","TypeScript","5","3","false","2026-07-18T11:07:14Z","nextjs14|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.154Z",""
"milad-zai/nestjs-multi-tenant-saas-starter","https://github.com/milad-zai/nestjs-multi-tenant-saas-starter","https://api.github.com/repos/milad-zai/nestjs-multi-tenant-saas-starter","A scalable and easy-to-use starter project for building multi-tenant SaaS applications using NestJS and MongoDB with a database-per-tenant architecture.","TypeScript","5","1","false","2026-05-28T20:20:26Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.863Z",""
"NiyozNeo/inventmanage","https://github.com/NiyozNeo/inventmanage","https://api.github.com/repos/NiyozNeo/inventmanage","Multi tenant SaaS based inventory menagment project","TypeScript","5","0","false","2024-09-17T03:29:49Z","multitenant|nest|nodejs|postgresql|saas","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.277Z",""
"florianheysen/platforms-cf-worker","https://github.com/florianheysen/platforms-cf-worker","https://api.github.com/repos/florianheysen/platforms-cf-worker","Multi-tenant SaaS app with Next.js and Cloudflare","TypeScript","5","1","false","2026-03-16T12:51:54Z","cloudflare-workers|multi-tenancy|nextjs|opennextjs","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.859Z",""
"saasyachtclub/saas-boiler","https://github.com/saasyachtclub/saas-boiler","https://api.github.com/repos/saasyachtclub/saas-boiler","⚓ SaaS Yacht Club - The Ultimate FREE & Open Source SaaS Boilerplate. Next.js 15 + React 19 + TypeScript + Better Auth + Stripe + Neon PostgreSQL. Production-ready with authentication, payments, multi-tenant architecture, and comprehensive documentation. 🚀","TypeScript","5","2","false","2026-01-08T20:28:57Z","better-auth|boilerplate|drizzle|free|neon|nextjs|open-source|postgresql|react|saas|shadcn-ui|starter|stripe|tailwindcss|template|typescript","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.973Z",""
"AymaneMehdi/Multi-Tenant-E-Commerce-Platform-Next.js-Stripe-Payload","https://github.com/AymaneMehdi/Multi-Tenant-E-Commerce-Platform-Next.js-Stripe-Payload","https://api.github.com/repos/AymaneMehdi/Multi-Tenant-E-Commerce-Platform-Next.js-Stripe-Payload","full-featured multi-tenant e-commerce platform built with Next.js 15, Payload CMS, TRPC, and Stripe. Perfect for launching a scalable SaaS marketplace with comprehensive admin capabilities and customer-facing storefront.","TypeScript","5","0","false","2026-05-20T04:27:31Z","graphql|lucide-react|mongodb|nextjs|payload|reactjs|stripe|tailwindcss|trpc|typescript|vercel|zod|zustand","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:52.934Z",""
"Create-Node-App/nextjs-saas-ai-template","https://github.com/Create-Node-App/nextjs-saas-ai-template","https://api.github.com/repos/Create-Node-App/nextjs-saas-ai-template","This boilerplate   is a Next.js, multi-tenant SaaS with AI built-in","TypeScript","5","0","false","2026-07-23T06:35:32Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:53.006Z",""
